trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
A_D0_1240,13:05:00,13:05:00,JAN1,11,0,0
A_D0_1240,13:07:00,13:07:00,MUS1,12,0,0
A_D0_1240,13:09:00,13:09:00,TYS1,13,0,0
A_D0_1240,13:11:00,13:11:00,KOL1,14,0,0
A_D0_1240,13:12:00,13:12:00,PLD,15,0,0
A_D0_1240,13:13:00,13:13:00,PKP,16,0,0
A_D0_1335,13:35:00,13:35:00,CHOP,1,0,0
A_D0_1335,13:37:00,13:37:00,POZ,2,0,0
A_D0_1335,13:38:00,13:38:00,PAP,3,0,0
A_D0_1335,13:43:00,13:43:00,GRUD,4,0,0
A_D0_1335,13:46:00,13:46:00,KOM,5,0,0
A_D0_1335,13:51:00,13:51:00,KOS,6,0,0
A_D0_1335,13:53:00,13:53:00,DLU,7,0,0
A_D0_1335,13:54:00,13:54:00,NIEP,8,0,0
A_D0_1335,13:56:00,13:56:00,STY1,9,0,0
A_D0_1335,13:58:00,13:58:00,SLO,10,0,0
A_D0_1335,14:01:00,14:01:00,JAN1,11,0,0
A_D0_1335,14:03:00,14:03:00,MUS1,12,0,0
A_D0_1335,14:05:00,14:05:00,TYS1,13,0,0
A_D0_1335,14:07:00,14:07:00,KOL1,14,0,0
A_D0_1335,14:08:00,14:08:00,PLD,15,0,0
A_D0_1335,14:09:00,14:09:00,PKP,16,0,0
A_D0_1440,14:40:00,14:40:00,CHOP,1,0,0
A_D0_1440,14:42:00,14:42:00,POZ,2,0,0
A_D0_1440,14:43:00,14:43:00,PAP,3,0,0
A_D0_1440,14:48:00,14:48:00,GRUD,4,0,0
A_D0_1440,14:51:00,14:51:00,KOM,5,0,0
A_D0_1440,14:56:00,14:56:00,KOS,6,0,0
A_D0_1440,14:58:00,14:58:00,DLU,7,0,0
A_D0_1440,14:59:00,14:59:00,NIEP,8,0,0
A_D0_1440,15:01:00,15:01:00,STY1,9,0,0
A_D0_1440,15:03:00,15:03:00,SLO,10,0,0
A_D0_1440,15:06:00,15:06:00,JAN1,11,0,0
A_D0_1440,15:08:00,15:08:00,MUS1,12,0,0
A_D0_1440,15:10:00,15:10:00,TYS1,13,0,0
A_D0_1440,15:12:00,15:12:00,KOL1,14,0,0
A_D0_1440,15:13:00,15:13:00,PLD,15,0,0
A_D0_1440,15:14:00,15:14:00,PKP,16,0,0
A_D0_1550,15:50:00,15:50:00,CHOP,1,0,0
A_D0_1550,15:52:00,15:52:00,POZ,2,0,0
A_D0_1550,15:53:00,15:53:00,PAP,3,0,0
A_D0_1550,15:58:00,15:58:00,GRUD,4,0,0
A_D0_1550,16:01:00,16:01:00,KOM,5,0,0
A_D0_1550,16:06:00,16:06:00,KOS,6,0,0
A_D0_1550,16:08:00,16:08:00,DLU,7,0,0
A_D0_1550,16:09:00,16:09:00,NIEP,8,0,0
A_D0_1550,16:11:00,16:11:00,STY1,9,0,0
A_D0_1550,16:13:00,16:13:00,SLO,10,0,0
A_D0_1550,16:16:00,16:16:00,JAN1,11,0,0
A_D0_1550,16:18:00,16:18:00,MUS1,12,0,0
A_D0_1550,16:20:00,16:20:00,TYS1,13,0,0
A_D0_1550,16:22:00,16:22:00,KOL1,14,0,0
A_D0_1550,16:23:00,16:23:00,PLD,15,0,0
A_D0_1550,16:24:00,16:24:00,PKP,16,0,0
A_D0_1656,16:56:00,16:56:00,CHOP,1,0,0
A_D0_1656,16:57:00,16:57:00,POZ,2,0,0
A_D0_1656,16:58:00,16:58:00,PAP,3,0,0
A_D0_1656,17:03:00,17:03:00,GRUD,4,0,0
A_D0_1656,17:05:00,17:05:00,KOM,5,0,0
